Incident Number,Date/Time,Address,Incident Type,Completed,Reviewed,,,,,
0002115 - 000,3/9/21 13:29,325 Encino St,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002116 - 000,3/9/21 14:16,151 Stagecoach Trl  # RM 4,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002117 - 000,3/9/21 14:48,900 Bugg Ln  # 110A,381 - Rescue or EMS standby,Yes,Yes,,,,,
0002118 - 000,3/9/21 14:57,210 E Access Rd,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0002119 - 000,3/9/21 15:04,1600 N IH 35,"744 - Detector activation, no fire - unintentional",Yes,Yes,,,,,
0002120 - 000,3/9/21 15:41,1931 Mallorca Way,381 - Rescue or EMS standby,Yes,Yes,,,,,
0002121 - 000,3/9/21 15:51,1001 Crepe Myrtle Dr,381 - Rescue or EMS standby,Yes,Yes,,,,,
0002122 - 000,3/9/21 16:43,1015 Hwy 80,"550 - Public service assistance, other",Yes,Yes,,,,,
0002123 - 000,3/9/21 17:18,207 NB,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002124 - 000,3/9/21 17:37,903 N IH 35  # LOBBY,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002125 - 000,3/9/21 17:58,105 Wonder World Dr,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002126 - 000,3/9/21 19:16,199 NB,622 - No incident found on arrival at dispatch address,Yes,Yes,,,,,
0002127 - 000,3/9/21 19:18,102 Wonder World Dr  # 100,381 - Rescue or EMS standby,Yes,Yes,,,,,
0002128 - 000,3/9/21 19:40,1348 Thorpe Ln  # 615,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0002129 - 000,3/10/21 0:02,1629 Post Rd  # 6224,381 - Rescue or EMS standby,Yes,Yes,,,,,
0002130 - 000,3/10/21 5:23,2600 Hunter Rd  # 1108,554 - Assist invalid,Yes,Yes,,,,,
0002131 - 000,3/10/21 7:38,204 SB,551 - Assist police or other governmental agency,Yes,Yes,,,,,
0002134 - 000,3/10/21 11:11,1225 Hwy 123  # 600HALL,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0002135 - 000,3/10/21 12:17,136 Lyndon Dr,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0002136 - 000,3/10/21 13:38,206 SB,"400 - Hazardous condition, other",Yes,Yes,,,,,
0002137 - 000,3/10/21 15:37,1021 Hwy 80,611E - EMS: Dispatched & cancelled en route,Yes,Yes,,,,,
0002138 - 000,3/10/21 15:39,1200 S IH 35,551 - Assist police or other governmental agency,Yes,Yes,,,,,
0002139 - 000,3/10/21 15:46,200 SB,551 - Assist police or other governmental agency,Yes,Yes,,,,,
0002140 - 000,3/10/21 16:29,1900 Medical Pkwy  # 104A,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002141 - 000,3/10/21 17:22,205 SB,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002142 - 000,3/10/21 20:21,1506 S IH 35  # BLDG 4,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002143 - 000,3/10/21 21:14,200 SB,322 - Vehicle accident with injuries,Yes,Yes,,,,,
0002144 - 000,3/10/21 22:02,200 NB,622 - No incident found on arrival at dispatch address,Yes,Yes,,,,,
0002145 - 000,3/10/21 22:08,208 SB,322 - Vehicle accident with injuries,Yes,Yes,,,,,
0002146 - 000,3/11/21 0:26,N LBJ Dr,611E - EMS: Dispatched & cancelled en route,Yes,Yes,,,,,
0002147 - 000,3/11/21 0:44,1401 Wonder World Dr  # 109,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0002148 - 000,3/11/21 2:40,832 W San Antonio St,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0002149 - 000,3/11/21 5:11,1422 River Rd  # A,381 - Rescue or EMS standby,Yes,Yes,,,,,
0002150 - 000,3/11/21 8:38,803 Allen St,611E - EMS: Dispatched & cancelled en route,Yes,Yes,,,,,
0002151 - 000,3/11/21 10:04,300 S Stagecoach Trl  # 1128,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002152 - 000,3/11/21 10:14,206 SB,552 - Police matter,Yes,Yes,,,,,
0002154 - 000,3/11/21 12:55,201 NB,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0002155 - 000,3/11/21 13:47,1504 Aquarena Springs Dr  # 301,444 - Power line down,Yes,Yes,,,,,
0002156 - 000,3/11/21 14:12,650 River Rd  # BLDG 1,735 - Alarm system sounded due to malfunction,Yes,Yes,,,,,
0002157 - 000,3/11/21 14:57,North St,553 - Public service,Yes,Yes,,,,,
0002158 - 000,3/11/21 17:18,234 Trestle Tree  # BOTTOM,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002159 - 000,3/11/21 17:21,1800 Post Rd  # 1511,381 - Rescue or EMS standby,Yes,Yes,,,,,
0002160 - 000,3/11/21 17:33,207 SB,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002161 - 000,3/11/21 17:52,1110 Cheatham St,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002162 - 000,3/11/21 17:56,338 S Guadalupe St,611E - EMS: Dispatched & cancelled en route,Yes,Yes,,,,,
0002163 - 000,3/11/21 18:43,1632 Post Rd,442 - Overheated motor,Yes,Yes,,,,,
0002164 - 000,3/11/21 18:54,607 N Edward Gary St  # 108,"651 - Smoke scare, odor of smoke",Yes,Yes,,,,,
0002165 - 000,3/11/21 21:04,1647 Post Rd  # 2022,611E - EMS: Dispatched & cancelled en route,Yes,Yes,,,,,
0002166 - 000,3/11/21 21:43,703 Academy St  # A-33,611E - EMS: Dispatched & cancelled en route,Yes,Yes,,,,,
0002167 - 000,3/11/21 22:22,1201 Thorpe Ln  # 103,554 - Assist invalid,Yes,Yes,,,,,
0002168 - 000,3/12/21 1:10,100 W Woods St,611E - EMS: Dispatched & cancelled en route,Yes,Yes,,,,,
0002169 - 000,3/12/21 1:21,500 N Edward Gary St,"652 - Steam, vapor, fog or dust thought to be smoke",Yes,Yes,,,,,
0002170 - 000,3/12/21 1:52,138 N LBJ Dr,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002171 - 000,3/12/21 2:21,102 Student Center Dr  # 332,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002172 - 000,3/12/21 2:51,518 Linda Dr  # 157,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002173 - 000,3/12/21 7:41,201 NB,553 - Public service,Yes,Yes,,,,,
0002174 - 000,3/12/21 7:51,1150 E River Ridge Pkwy  # BLDG5/6,"440 - Electrical  wiring/equipment problem, other",Yes,Yes,,,,,
0002175 - 000,3/12/21 8:20,1720 Old Ranch Road 12  # 100,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0002176 - 000,3/12/21 11:04,1951 Aquarena Springs Dr  # BLD 9,552 - Police matter,Yes,Yes,,,,,
0002177 - 000,3/12/21 11:45,1233 Gravel St,381 - Rescue or EMS standby,Yes,Yes,,,,,
0002178 - 000,3/12/21 11:56,On Texas Ave  at W Access Rd,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002179 - 000,3/12/21 12:54,Lime Kiln Rd,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002180 - 000,3/12/21 15:12,123 N Edward Gary St,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002181 - 000,3/12/21 15:33,4060 S IH 35,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002182 - 000,3/12/21 16:32,202 NB,551 - Assist police or other governmental agency,Yes,Yes,,,,,
0002183 - 000,3/12/21 18:39,4321 S IH 35,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002184 - 000,3/12/21 19:51,1811 Medical Pkwy  # 818,522 - Water or steam leak,Yes,Yes,,,,,
0002185 - 000,3/12/21 20:56,1750 N Bishop St,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0002186 - 000,3/12/21 21:57,On E Hopkins St  at N LBJ Dr,323 - Motor vehicle/pedestrian accident (MV Ped),Yes,Yes,,,,,
0002187 - 000,3/12/21 22:30,504 Bandera St,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0002188 - 000,3/12/21 22:28,2600 Hunter Rd  # 2307,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0002189 - 000,3/13/21 1:31,701 Bracewood Cir  # D,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002190 - 000,3/13/21 3:11,1001 Crepe Myrtle Dr  # 8,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0002191 - 000,3/13/21 6:37,1942 S IH 35,"700 - False alarm or false call, other",Yes,Yes,,,,,
0002192 - 000,3/13/21 8:18,807 Conway Dr,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002193 - 000,3/13/21 9:06,810 S Stagecoach Trl,"651 - Smoke scare, odor of smoke",Yes,Yes,,,,,
0002194 - 000,3/13/21 10:12,E Access Rd,553 - Public service,Yes,Yes,,,,,
0002195 - 000,3/13/21 10:22,2206 Hunter Rd,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002196 - 000,3/13/21 10:31,1805 N IH 35  # 23F,381 - Rescue or EMS standby,Yes,Yes,,,,,
0002197 - 000,3/13/21 10:57,205 SB,322 - Vehicle accident with injuries,Yes,Yes,,,,,
0002198 - 000,3/13/21 11:45,205 SB,322 - Vehicle accident with injuries,Yes,Yes,,,,,
0002199 - 000,3/13/21 11:47,1015 Hwy 80,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002200 - 000,3/13/21 11:56,E Access Rd,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002201 - 000,3/13/21 12:21,1205 Columbia Ave,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002202 - 000,3/13/21 13:27,208 SB,322 - Vehicle accident with injuries,Yes,Yes,,,,,
0002203 - 000,3/13/21 13:41,200 NB,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002204 - 000,3/13/21 13:54,1340 Wonder World Dr  # 4100,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002205 - 000,3/13/21 14:44,300 N Guadalupe St,622 - No incident found on arrival at dispatch address,Yes,Yes,,,,,
0002206 - 000,3/13/21 16:15,155 Wonder World Dr,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002207 - 000,3/13/21 16:35,300 S Stagecoach Trl  # 1119,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002208 - 000,3/13/21 17:27,202 NB,551 - Assist police or other governmental agency,Yes,Yes,,,,,
0002209 - 000,3/13/21 18:20,1200 Hwy 80,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0002210 - 000,3/13/21 18:22,201 NB,553 - Public service,Yes,Yes,,,,,
0002211 - 000,3/13/21 20:53,199 NB,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002212 - 000,3/13/21 21:56,199 SB,551 - Assist police or other governmental agency,Yes,Yes,,,,,
0002213 - 000,3/13/21 22:19,1975 Aquarena Springs Dr  # 334,553 - Public service,Yes,Yes,,,,,
0002214 - 000,3/13/21 23:26,1120 Aquarena Springs Dr,131 - Passenger vehicle fire,Yes,Yes,,,,,
0002215 - 000,3/14/21 1:19,200 W Hopkins St,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002216 - 000,3/14/21 3:30,1942 S IH 35,"700 - False alarm or false call, other",Yes,Yes,,,,,
0002217 - 000,3/14/21 3:34,105 Bintu Dr,735 - Alarm system sounded due to malfunction,Yes,Yes,,,,,
0002218 - 000,3/14/21 4:36,1805 N IH 35  # 17H,381 - Rescue or EMS standby,Yes,Yes,,,,,
0002219 - 000,3/14/21 6:20,191 Cotter Ave,735 - Alarm system sounded due to malfunction,Yes,Yes,,,,,
0002220 - 000,3/14/21 6:36,1900 Medical Pkwy  # RM404,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002221 - 000,3/14/21 6:48,1623 Aquarena Springs Dr  # 110,522 - Water or steam leak,Yes,Yes,,,,,
0002222 - 000,3/14/21 7:54,207 SB,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0002224 - 000,3/14/21 10:25,1560 S IH 35,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002225 - 000,3/14/21 10:28,1101 Leah Ave  # 1013,"550 - Public service assistance, other",Yes,Yes,,,,,
0002226 - 000,3/14/21 10:37,200 NB,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002227 - 000,3/14/21 12:27,209 N IH 35,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0002228 - 000,3/14/21 12:50,208 SB,322 - Vehicle accident with injuries,Yes,Yes,,,,,
0002229 - 000,3/14/21 12:57,1351 Sadler Dr,381 - Rescue or EMS standby,Yes,Yes,,,,,
0002230 - 000,3/14/21 14:07,206 NB,553 - Public service,Yes,Yes,,,,,
0002231 - 000,3/14/21 14:29,1707 Aquarena Springs Dr  # 187,611E - EMS: Dispatched & cancelled en route,Yes,Yes,,,,,
0002232 - 000,3/14/21 14:49,600 Leah Ave  # 1201,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0002233 - 000,3/14/21 17:20,4040 S IH 35,611E - EMS: Dispatched & cancelled en route,Yes,Yes,,,,,
0002234 - 000,3/14/21 18:02,204 W Access Rd,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0002235 - 000,3/14/21 19:05,202 NB,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0002236 - 000,3/14/21 19:18,130 N Mitchell Ave,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0002237 - 000,3/14/21 19:33,200 SB,552 - Police matter,Yes,Yes,,,,,
0002238 - 000,3/14/21 21:47,1235 W MLK Dr  # 6,381 - Rescue or EMS standby,Yes,Yes,,,,,
0002239 - 000,3/14/21 21:57,800 Leah Ave  # 203,611E - EMS: Dispatched & cancelled en route,Yes,Yes,,,,,
0002240 - 000,3/14/21 22:17,178 E Sessom Dr,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0002241 - 000,3/15/21 0:31,1271 Sadler Dr  # 7104,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0002242 - 000,3/15/21 0:38,219 Teron Dr,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002243 - 000,3/15/21 2:50,801 River Rd  # 277,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002244 - 000,3/15/21 3:31,1001 Crepe Myrtle Dr,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002245 - 000,3/15/21 3:41,413 Armstrong St,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002246 - 000,3/15/21 3:43,600 Leah Ave  # 805,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002247 - 000,3/15/21 3:54,1615 Redwood Rd  # 47D,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002248 - 000,3/15/21 4:23,1629 Post Rd  # 7319,611E - EMS: Dispatched & cancelled en route,Yes,Yes,,,,,
0002249 - 000,3/15/21 4:59,307 W Sierra Cir,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002250 - 000,3/15/21 7:01,601 River Rd  # 305,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0002251 - 000,3/15/21 8:34,1419 River Rd,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0002252 - 000,3/15/21 8:47,191 Cotter Ave  # BLG4,"745 - Alarm system sounded, no fire - unintentional",Yes,Yes,,,,,
0002253 - 000,3/15/21 8:54,1560 S IH 35,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002254 - 000,3/15/21 11:22,235 W Sierra Cir,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0002255 - 000,3/15/21 11:36,1701 N IH 35  # 216,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0002256 - 000,3/15/21 12:19,413 Discovering Cypress Dr,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002258 - 000,3/15/21 13:05,2830 S IH 35,322 - Vehicle accident with injuries,Yes,Yes,,,,,
0002261 - 000,3/15/21 14:00,On Hwy 123  at Old Bastrop Hwy,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002262 - 000,3/15/21 15:03,213 Dashing Sycamore St,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002263 - 000,3/15/21 15:42,210 NB,622 - No incident found on arrival at dispatch address,Yes,Yes,,,,,
0002264 - 000,3/15/21 16:24,1800 Post Rd  # 1021,553 - Public service,Yes,Yes,,,,,
0002265 - 000,3/15/21 16:42,3939 S IH 35  # 1350,552 - Police matter,Yes,Yes,,,,,
0002266 - 000,3/15/21 16:51,On Hwy 80  at River Rd,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002267 - 000,3/15/21 17:13,On E Access Rd  at Wonder World Dr,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002269 - 000,3/15/21 19:30,200 SB,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0002270 - 000,3/15/21 19:54,On E Hopkins St  at W Access Rd,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0002271 - 000,3/15/21 22:40,E Access Rd,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002272 - 000,3/15/21 23:19,206 SB,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0002273 - 000,3/16/21 0:21,518 Linda Dr  # 161,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0002274 - 000,3/16/21 0:36,1113 N IH 35,611E - EMS: Dispatched & cancelled en route,Yes,Yes,,,,,
0002275 - 000,3/16/21 5:48,1805 Aquarena Springs Dr  # 1208,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002276 - 000,3/16/21 7:58,1900 Medical Pkwy  # 103,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0002277 - 000,3/16/21 10:58,Hwy 80,"142 - Brush, or brush and grass mixture fire",Yes,Yes,,,,,
0002278 - 000,3/16/21 12:43,1105 N IH 35,511 - Lock-out,Yes,Yes,,,,,
0002279 - 000,3/16/21 13:27,208 NB,322 - Vehicle accident with injuries,Yes,Yes,,,,,
0002283 - 000,3/16/21 14:23,1201 Thorpe Ln  # 137,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002284 - 000,3/16/21 16:33,1101 E River Ridge Pkwy  # 415,621 - Wrong location,Yes,Yes,,,,,
0002285 - 000,3/16/21 16:36,1850 Aquarena Springs Dr  # 712,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002286 - 000,3/16/21 16:44,707 S Loop St,554 - Assist invalid,Yes,Yes,,,,,
0002287 - 000,3/16/21 17:15,1001 S Loop St,561 - Unauthorized burning,Yes,Yes,,,,,
0002288 - 000,3/16/21 18:05,110 Willow Springs Dr  # 102,381 - Rescue or EMS standby,Yes,Yes,,,,,
0002289 - 000,3/16/21 18:10,205 NB,551 - Assist police or other governmental agency,Yes,Yes,,,,,
0002290 - 000,3/16/21 19:56,EXIT 200 NB,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002291 - 000,3/16/21 19:59,1101 E River Ridge Pkwy  # 213,"445 - Arcing, shorted electrical equipment",Yes,Yes,,,,,
0002292 - 000,3/16/21 20:14,208 SB,551 - Assist police or other governmental agency,Yes,Yes,,,,,
0002293 - 000,3/16/21 20:39,207 SB,551 - Assist police or other governmental agency,Yes,Yes,,,,,
0002294 - 000,3/16/21 21:12,In rear of 1430 N IH 35,"142 - Brush, or brush and grass mixture fire",Yes,Yes,,,,,
0002295 - 000,3/17/21 2:24,Chuck Nash Lp,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002296 - 000,3/17/21 3:03,1720 Old Ranch Road 12  # 210,381 - Rescue or EMS standby,Yes,Yes,,,,,
0002297 - 000,3/17/21 6:12,2805 Hunter Rd  # 3A,381 - Rescue or EMS standby,Yes,Yes,,,,,
0002298 - 000,3/17/21 8:21,805 S Loop St,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002299 - 000,3/17/21 8:30,2108 Hunter Rd  # 104,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002300 - 000,3/17/21 9:10,120 W Hopkins St,"700 - False alarm or false call, other",Yes,Yes,,,,,
0002301 - 000,3/17/21 10:29,1975 Aquarena Springs Dr  # BLDG5,735 - Alarm system sounded due to malfunction,Yes,Yes,,,,,
0002302 - 000,3/17/21 12:04,Hwy 123,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002303 - 000,3/17/21 12:21,204 NB,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0002304 - 000,3/17/21 13:07,208 NB,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002305 - 000,3/17/21 15:00,204 NB,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0002306 - 000,3/17/21 15:51,1615 Redwood Rd  # 35 B,"113 - Cooking fire, confined to container",Yes,Yes,,,,,
0002307 - 000,3/17/21 16:29,Cr 158,"142 - Brush, or brush and grass mixture fire",Yes,Yes,,,,,
0002308 - 000,3/17/21 17:00,2301 Hunter Rd,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002309 - 000,3/17/21 17:04,641 E Hopkins St,"140 - Natural vegetation fire, other",Yes,Yes,,,,,
0002310 - 000,3/17/21 17:26,909 Hwy 80  # C,111 - Building fire,Yes,Yes,,,,,
0002311 - 000,3/17/21 18:33,E San Antonio St,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0002312 - 000,3/17/21 18:44,300 S Stagecoach Trl  # 2307,611E - EMS: Dispatched & cancelled en route,Yes,Yes,,,,,
0002313 - 000,3/17/21 18:51,662 Mill St  # A,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002314 - 000,3/17/21 19:34,206 SB,552 - Police matter,Yes,Yes,,,,,
0002315 - 000,3/17/21 20:03,2600 Hunter Rd  # 1202,611E - EMS: Dispatched & cancelled en route,Yes,Yes,,,,,
0002316 - 000,3/17/21 20:33,600 Wonder World Dr,"743 - Smoke detector activation, no fire - unintentional",Yes,Yes,,,,,
0002317 - 000,3/17/21 20:53,1350 Sadler Dr  # 6105,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0002318 - 000,3/17/21 21:11,Aquarena Springs Dr,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0002319 - 000,3/17/21 21:29,Thorpe Ln,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002320 - 000,3/17/21 22:07,3085 Hwy 123  # 7102,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0002321 - 000,3/17/21 23:04,1975 Aquarena Springs Dr  # 317,611E - EMS: Dispatched & cancelled en route,Yes,Yes,,,,,
0002322 - 000,3/17/21 23:26,2830 S IH 35,"700 - False alarm or false call, other",Yes,Yes,,,,,
0002323 - 000,3/18/21 0:33,E Access Rd,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002324 - 000,3/18/21 1:05,811 S Guadalupe St  # 217,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0002326 - 000,3/18/21 6:24,1201 Thorpe Ln  # 103,611E - EMS: Dispatched & cancelled en route,Yes,Yes,,,,,
0002327 - 000,3/18/21 6:50,On Hunter Rd  at Wonder World Dr,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0002328 - 000,3/18/21 7:42,1354 Thorpe Ln  # BLDG 1,"170 - Cultivated vegetation, crop fire, other",Yes,Yes,,,,,
0002329 - 000,3/18/21 10:42,1720 Old Ranch Road 12  # 104,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0002330 - 000,3/18/21 10:51,On Hwy 123  at Old Bastrop Hwy,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0002331 - 000,3/18/21 11:02,1348 Thorpe Ln  # 615,381 - Rescue or EMS standby,Yes,Yes,,,,,
0002332 - 000,3/18/21 11:55,641 E Hopkins St  # MAIN ENT,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0002333 - 000,3/18/21 12:11,208 SB,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002334 - 000,3/18/21 13:22,4015 S IH 35  # 338 C,323 - Motor vehicle/pedestrian accident (MV Ped),Yes,Yes,,,,,
0002335 - 000,3/18/21 13:36,1615 Redwood Rd  # 11A,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0002336 - 000,3/18/21 14:07,602 Dartmouth Ave,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0002337 - 000,3/18/21 14:46,601 River Rd,412 - Gas leak (natural gas or LPG),Yes,Yes,,,,,
0002338 - 000,3/18/21 14:51,1115 N LBJ Dr  # A4,381 - Rescue or EMS standby,Yes,Yes,,,,,
0002339 - 000,3/18/21 15:25,309 Orchard St,611E - EMS: Dispatched & cancelled en route,Yes,Yes,,,,,
0002340 - 000,3/18/21 15:38,712 S Stagecoach Trl,551 - Assist police or other governmental agency,Yes,Yes,,,,,
0002341 - 000,3/18/21 15:43,650 River Rd  # BUSSTOP,143 - Grass fire,Yes,Yes,,,,,
0002342 - 000,3/18/21 16:16,206 NB,"600 - Good intent call, other",Yes,Yes,,,,,
0002343 - 000,3/18/21 18:14,3939 S IH 35  # 795,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002344 - 000,3/18/21 19:24,1201 Thorpe Ln  # 85,412 - Gas leak (natural gas or LPG),Yes,Yes,,,,,
0002345 - 000,3/18/21 19:37,1350 Sadler Dr,735 - Alarm system sounded due to malfunction,Yes,Yes,,,,,
0002346 - 000,3/18/21 21:38,200 NB,622 - No incident found on arrival at dispatch address,Yes,Yes,,,,,
0002347 - 000,3/19/21 0:07,401 Quail Run,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002348 - 000,3/19/21 0:44,817 Bracewood Cir  # D,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002349 - 000,3/19/21 0:49,208 NB,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002350 - 000,3/19/21 1:23,881 Sagewood Trl,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0002351 - 000,3/19/21 4:46,604 Bandera St,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002352 - 000,3/19/21 5:51,612 Mill St  # A,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002353 - 000,3/19/21 8:12,400 Wonder World Dr,611 - Dispatched & cancelled en route,Yes,Yes,,,,,
0002355 - 000,3/19/21 9:31,750 River Rd,"651 - Smoke scare, odor of smoke",Yes,Yes,,,,,
0002356 - 000,3/19/21 10:32,1201 Thorpe Ln  # 82,381 - Rescue or EMS standby,Yes,Yes,,,,,
0002357 - 000,3/19/21 11:57,1321 N IH 35,"651 - Smoke scare, odor of smoke",Yes,Yes,,,,,
0002358 - 000,3/19/21 12:19,309 Oakdale Dr,381 - Rescue or EMS standby,Yes,Yes,,,,,
0002359 - 000,3/19/21 12:51,1951 Aquarena Springs Dr  # 2104,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0002360 - 000,3/19/21 13:08,650 River Rd  # BLDG 8,"745 - Alarm system sounded, no fire - unintentional",Yes,Yes,,,,,
0002361 - 000,3/19/21 13:39,2001 Castle Gate Cir,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
